word	defn	main_meaning	other meaning
报国	 報國	 báo quốc	 đền nợ nước/báo quốc/đền ơn nước/tận lực tận trung cho Tổ quốc
决裂	 決裂	 quyết liệt	 quyết liệt/tan vỡ/cắt đứt/đoạn tuyệt/chấm dứt/rạn nứt
自得	 自得	 tự đắc	 tự đắc/vênh váo
天池	 天池	 thiên trì	 thiên trì
同化	 同化	 đồng hóa	 đồng hóa/đồng hoá/hiện tượng biến âm
功名	 功名	 công danh	 công danh
稀有	 稀有	 hi hữu	 hi hữu/hiếm/hiếm có/hiếm thấy
宝库	 寶庫	 bảo khố	 bảo khố/kho báu/kho tàng/nơi cất giấu những vật quý
流转	 流轉	 lưu chuyển	 lưu chuyển/chuyển chỗ ở/chuyển nơi ở/quay vòng/trôi chảy/lưu loát
豪放	 豪放	 hào phóng	 hào phóng/phóng khoáng
舞女	 舞女	 vũ nữ	 vũ nữ/gái nhảy
洞房	 洞房	 động phòng	 động phòng/buồng cưới/phòng tân hôn
不屈	 不屈	 bất khuất	 bất khuất/không khuất phục
自问	 自問	 tự vấn	 tự hỏi/tự vấn/tự đánh giá
商会	 商會	 thương hội	 thương hội/hội thương mại/hội nhà buôn
周全	 周全	 chu toàn	 chu toàn/chu đáo/toàn diện/giúp đỡ
聪慧	 聰慧	 thông tuệ	 trí tuệ/thông tuệ/thông minh/sáng suốt/sáng sủa
联名	 聯名	 liên danh	 liên danh
惠州	 惠州	 huệ châu	 Huệ Châu
安葬	 安葬	 an táng	 an táng/chôn/chôn cất/mai táng
失礼	 失禮	 thất lễ	 thất lễ/vô lễ/thiếu lễ độ/thiếu lễ phép
磁性	 磁性	 từ tính	 từ tính
恩师	 恩師	 ân sư	 ân sư
阵亡	 陣亡	 trận vong	 bỏ mình/trận vong/chết trận/tử trận/hi sinh tại mặt trận
禅宗	 禪宗	 thiền tông	 thiền tông
重用	 重用	 trọng dụng	 trọng dụng
不意	 不意	 bất ý	 không/bất ngờ/không ngờ/chẳng ngờ/nào ngờ/bất ý/không ngờ thế
登载	 登載	 đăng tải	 đăng/đăng tải/đưa/đưa tin/đăng tin
限额	 限額	 hạn ngạch	 hạn ngạch
党派	 黨派	 đảng phái	 đảng phái
基数	 基數	 cơ số	 số đếm/cơ số
本体	" 本體	 bản thể	 bản thể/phần quan trọng/bộ phận chính, chủ chốt	 #15273	 f: 2.3"	ｂｅｎ３本ｔｉ３体	
华美	 華美	 hoa mỹ	 hoa mỹ/hoa lệ/lộng lẫy
无双	 無雙	 vô song	 vô song/độc nhất vô nhị/có một không hai
监制	 監製	 giám chế	 giám chế/giám sát/theo dõi việc sản xuất
杂技	 雜技	 tạp kỹ	 tạp kỹ/xiếc
民政	 民政	 dân chính	 dân chính
白杨	 白楊	 bạch dương	 bạch dương/cây - bạch dương/dương trắng/cây dương rung/ngân bạch dương
论据	 論據	 luận cứ	 luận cứ/căn cứ
黄帝	 黃帝	 hoàng đế	 hoàng đế
检阅	 檢閱	 kiểm duyệt	 kiểm duyệt/duyệt/đọc qua
博爱	 博愛	 bác ái	 bác ái/tình yêu nhân loại/lòng thương người
亡灵	 亡靈	 vong linh	 vong linh/linh hồn người chết
空袭	 空襲	 không tập	 không kích/không tập/tập kích đường không
同级	 同級	 đồng cấp	 đồng cấp
西医	 西醫	 tây y	 Tây y/y học phương Tây/thầy thuốc Tây y/bác sĩ
优待	 優待	 ưu đãi	 ưu đãi/đối đãi tốt/đãi ngộ tốt
神通	 神通	 thần thông	 thần thông/bản lĩnh cao cường
情敌	 情敵	 tình địch	 tình địch
心病	 心病	 tâm bệnh	 tâm bệnh/nỗi lo lắng/nỗi buồn phiền/nỗi đau thầm kín
东汉	 東漢	 đông hán	 Đông Hán
无益	 無益	 vô ích	 vô ích/không có ích/không ích gì
罗兰	 羅蘭	 la lan	 La Lan
嗅觉	 嗅覺	 khứu giác	 khứu giác
正派	 正派	 chính phái	 chính phái/nghiêm túc/đứng đắn/ngay thẳng thật thà
对内	 對內	 đối nội	 đối nội
会所	 會所	 hội sở	 hội sở
叔父	 叔父	 thúc phụ	 thúc phụ/chú ruột
水仙	 水仙	 thủy tiên	 thủy tiên/cây thuỷ tiên/hoa thuỷ tiên
处决	 處決	 xử quyết	 xử quyết/giết/hành hình/hành quyết/thi hành án/xử lý quyết định/giải quyết/phân xử/dàn xếp/hoà giải
布告	 布告	 bố cáo	 bố cáo/bản thông báo/tờ bố cáo/thông tri/yết thị/thông cáo/bản tin/thông báo/bá cáo/cáo thị/công bố/ban bố
灵动	 靈動	 linh động	 linh động
侍卫	 侍衛	 thị vệ	 thị vệ/vệ sĩ/quan tả hữu
美人鱼	 美人魚	 mỹ nhân ngư	 mỹ nhân ngư
上官	 上官	 thượng quan	 thượng quan/họ Thượng Quan
外景	 外景	 ngoại cảnh	 ngoại cảnh/cảnh ngoài trời
红衣	 紅衣	 hồng y	 hồng y
定神	 定神	 định thần	 định thần/chú ý/tập trung tinh thần/trấn tĩnh/tinh thần yên định
麒麟	 麒麟	 kỳ lân	 kỳ lân
中队长	 中隊長	 trung đội trưởng	 trung đội trưởng
三爷	 三爺	 tam gia	 tam gia
清查	 清查	 thanh tra	 thanh tra/kiểm tra
巨蟹	 巨蟹	 cự giải	 cự giải/cua lớn
动脉	 動脈	 động mạch	 động mạch/đường huyết mạch
人类学	 人類學	 nhân loại học	 nhân loại học
拳脚	 拳腳	 quyền cước	 quyền cước/quyền thuật/võ thuật
知县	 知縣	 tri huyện	 tri huyện/quan huyện
总指挥	 總指揮	 tổng chỉ huy	 tổng chỉ huy
暴乱	 暴亂	 bạo loạn	 bạo loạn/dấy loạn/náo động/náo loạn/cuộc phiến loạn/cuộc nổi loạn
不敬	 不敬	 bất kính	 bất kính
方程	 方程	 phương trình	 phương trình
唐突	 唐突	 đường đột	 đường đột/mạo phạm
凶残	 凶殘	 hung tàn	 hung tàn/độc ác tàn nhẫn/kẻ hung ác/kẻ hung bạo
入院	 入院	 nhập viện	 nhập viện/vào viện
公报	 公報	 công báo	 công báo/thông báo/thông cáo
血肉	 血肉	 huyết nhục	 huyết nhục/máu và thịt/máu thịt/mật thiết
内情	 內情	 nội tình	 nội tình/tình hình bên trong/tình hình nội bộ
君王	 君王	 quân vương	 quân vương
杀气	 殺氣	 sát khí	 sát khí/hung ác/trút giận
忠心	 忠心	 trung tâm	 trung tâm/lòng trung/lòng trung thành/trung thành
巡抚	 巡撫	 tuần phủ	 tuần phủ
骏马	 駿馬	 tuấn mã	 tuấn mã/ngựa tốt/ngựa hay/ngựa giỏi
收发	 收發	 thu phát	 thu phát/thu vào phát ra/người phụ trách văn thư
僧侣	 僧侶	 tăng lữ	 tăng lữ/thầy tu/sư sãi
男装	 男裝	 nam trang	 nam trang
征战	 徵戰	 chinh chiến	 chinh chiến
战车	 戰車	 chiến xa	 chiến xa
可敬	 可敬	 khả kính	 khả kính
王位	 王位	 vương vị	 vương vị
小节	 小節	 tiểu tiết	 tiểu tiết/chỉ những việc nhỏ nhặt/ô nhịp
定型	 定型	 định hình	 định hình/hình thức cố định
亡国	 亡國	 vong quốc	 mất nước/vong quốc/nước bị diệt/nước đã mất
宪兵	 憲兵	 hiến binh	 hiến binh/quân cảnh
闭塞	 閉塞	 bế tắc	 bế tắc/nghẽn/tắt/tắt nghẽn/bít/hoang vu/hẻo lánh/không thoáng/không nhạy tin
医科	 醫科	 y khoa	 y khoa
拜见	 拜見	 bái kiến	 bái kiến/chào/ra mắt/đến chào
防空	 防空	 phòng không	 phòng không/phòng thủ trên không
吐露	 吐露	 thổ lộ	 thổ lộ/nói ra
谦逊	 謙遜	 khiêm tốn	 khiêm tốn/nhũn nhặn
军服	 軍服	 quân phục	 quân phục
重阳	 重陽	 trùng dương	 trùng dương/trùng cửu
法术	 法術	 pháp thuật	 pháp thuật/phù phép
元宝	 元寶	 nguyên bảo	 nguyên bảo
作怪	 作怪	 tác quái	 tác quái/quấy phá/làm hại/tác oai tác quái
天宫	 天宮	 thiên cung	 thiên cung/cung điện của thần tiên
观世音	 觀世音	 quan thế âm	 Quan Thế Âm
忘情	 忘情	 vong tình	 vong tình/cầm lòng/thờ ơ/hờ hững/thỏa tình/thỏa thích/say sưa/thoả tình/thoả thích
产出	 產出	 sản xuất	 sản xuất/sinh ra/đẻ ra
残害	 殘害	 tàn hại	 giết hại/tàn hại/sát hại/làm thương tổn
天神	 天神	 thiên thần	 thiên thần
勇猛	 勇猛	 dũng mãnh	 dũng mãnh/hùng dũng
古墓	 古墓	 cổ mộ	 cổ mộ
小队	 小隊	 tiểu đội	 tiểu đội
成型	 成型	 thành hình	 thành hình/đúng mẫu/giống như đúc/cùng một giuộc
惨剧	 慘劇	 thảm kịch	 thảm kịch/chuyện bi thương
氏族	 氏族	 thị tộc	 thị tộc
联军	 聯軍	 liên quân	 liên quân
死伤	 死傷	 tử thương	 chết/tử thương/thương vong
逆境	 逆境	 nghịch cảnh	 nghịch cảnh/cảnh ngộ trái ngang/hoàn cảnh không may
护卫	 護衛	 hộ vệ	 hộ vệ/bảo hộ/bảo vệ/giữ gìn/gìn giữ/người bảo vệ/nhân viên bảo vệ
阵势	 陣勢	 trận thế	 trận thế/thế trận/tình thế/cục diện
草药	 草藥	 thảo dược	 thảo dược/cây thuốc/cây thuốc bắc/cây thuốc Đông y
下马	" 下馬	 hạ mã	 xuống ngựa/hạ mã/rút bỏ/đình chỉ công tác, kế hoạch quan trọng, các công trình lớn	 #15959	 f: 2.15"	ｘｉａ４下ｍａ３马	
弓箭	 弓箭	 cung tiễn	 cung tiễn/cung tên
寂寥	 寂寥	 tịch liêu	 tịch liêu/tịch mịch/buồn tẻ/vắng vẻ trống trải/trống vắng/lặng lẽ mênh mông
爆破	 爆破	 bộc phá	 phá/bộc phá/phá sập/đặt bộc phá/đánh sập/nổ sập
冬至	 冬至	 đông chí	 đông chí
教条	 教條	 giáo điều	 giáo điều/tín điều/giáo lý/chủ nghĩa giáo điều
世故	 世故	 thế cố	 lõi đời/sành đời/hiểu đời/khôn khéo/thế cố/thói đời
豪杰	 豪傑	 hào kiệt	 hào kiệt/người có tài có chí
狐狸精	 狐狸精	 hồ ly tinh	 hồ ly tinh
同心	 同心	 đồng tâm	 đồng tâm/chung lòng/một lòng
花椒	 花椒	 hoa tiêu	 hoa tiêu/hạt tiêu/cây tần bì gai Trung Quốc/cây hoa tiêu/hạt tần bì gai/hạt hoa tiêu
大典	 大典	 đại điển	 đại điển/lễ lớn/lễ mừng/lễ kỷ niệm/lễ
解码	 解碼	 giải mã	 giải mã/đọc mật mã
毒素	 毒素	 độc tố	 độc tố/chất độc/đầu độc/tệ hại/độc hại
冒犯	 冒犯	 mạo phạm	 mạo phạm/xúc phạm
温习	 溫習	 ôn tập	 ôn tập/học lại/ôn lại
本分	 本分	 bổn phận	 bổn phận/bản phận/an phận/yên phận/an phận thủ thường/giữ bổn phận
巍峨	 巍峨	 nguy nga	 nguy nga/sừng sững/cao ngất/đồ sộ
苦练	 苦練	 khổ luyện	 khổ luyện
上乘	 上乘	 thượng thừa	 thượng thừa/phái đại thừa của phật giáo/tác phẩm có giá trị/cũng bắt chước nghĩa ấy
微生物	 微生物	 vi sinh vật	 vi sinh vật/vi trùng
神殿	 神殿	 thần điện	 thần điện
绝世	 絕世	 tuyệt thế	 tuyệt thế
商旅	 商旅	 thương lữ	 thương lữ/thương khách
剑客	 劍客	 kiếm khách	kiếm khách/1.kiếm khách
气色	 氣色	 khí sắc	 khí sắc/thần sắc
中转	 中轉	 trung chuyển	 trung chuyển/sang/chuyển qua trung gian/qua trung gian/sang tay
品行	 品行	 phẩm hạnh	 phẩm hạnh/tính hạnh
恳切	 懇切	 khẩn thiết	 khẩn thiết/thành khẩn/tha thiết/ân cần/khẩn khoản
高强	 高強	 cao cường	 cao cường/cao siêu/trội về/xuất sắc
大乱	 大亂	 đại loạn	 đại loạn/lộn xộn
教派	 教派	 giáo phái	 giáo phái
下体	 下體	 hạ thể	 hạ thể/nửa thân dưới/bộ phận sinh dục
消散	 消散	 tiêu tán	 tiêu tán/tiêu tan/tan
私塾	 私塾	 tư thục	 tư thục/trường tư/trường tư thục
残余	 殘餘	 tàn dư	 còn sót lại/tàn dư/thặng dư/thừa ra/còn lại
刘家	 劉家	 lưu gia	 Lưu gia
四散	 四散	 tứ tán	 bốn phía/tứ tán/phân tán bốn phía/tản đi khắp nơi
后盾	 後盾	 hậu thuẫn	 hậu thuẫn/ủng hộ
军区	 軍區	 quân khu	 quân khu/chiến khu/khu vực quân sự
强盛	 強盛	 cường thịnh	 cường thịnh/hùng mạnh/thịnh vượng
两难	 兩難	 lưỡng nan	 lưỡng nan/khó cả đôi đường
殿下	 殿下	 điện hạ	 điện hạ/thái tử/hoàng tử
通天	 通天	 thông thiên	 thông thiên/chồng chất/tày trời/phi thường/liên hệ trực tiếp cấp trên/quan hệ trực tiếp với cấp trên
救护	 救護	 cứu hộ	 cứu hộ/cấp cứu
传教	 傳教	 truyền giáo	 truyền giáo/truyền đạo/thuyết pháp/phổ biến/tuyên truyền
包办	 包辦	 bao biện	 xử lý/đảm trách/đảm nhiệm/ôm đồm/bao biện/một mình đảm trách/một mình lo hết
功臣	 功臣	 công thần	 công thần/người có công
女权	 女權	 nữ quyền	 nữ quyền
反光	 反光	 phản quang	 phản quang/phản chiếu/ánh sáng phản chiếu
再造	 再造	 tái tạo	 tái tạo/làm sống lại
对答	 對答	 đối đáp	 đối đáp/trả lời
寄生	 寄生	 kí sinh/ký sinh	 ký sinh/sống nhờ/chùm gởi/ăn bám
元宵	 元宵	 nguyên tiêu	 nguyên tiêu/đêm rằm tháng giêng/bánh nguyên tiêu/bánh trôi/chè trôi nước
超脱	 超脫	 siêu thoát	 siêu thoát/thoải mái/không gò bó/độc đáo/phóng khoáng/vượt ra ngoài/thoát ra ngoài/thoát khỏi/từ bỏ/li khai
交手	 交手	 giao thủ	 giao thủ/vật lộn/đánh nhau/hai bên đánh nhau
满洲	 滿洲	 mãn châu	 dân tộc Mãn Châu/Mãn Châu
立功	 立功	 lập công	 lập công
布施	 佈施	 bố thí	 bố thí/cứu tế/quyên/tặng/cúng
特派	 特派	 đặc phái	 đặc phái/đặc biệt cử đi
旁观	 旁觀	 bàng quan	 bàng quan/đứng ngoài quan sát/thờ ơ
教化	 教化	 giáo hóa	 giáo hóa/giáo hoá/giáo dục cảm hoá
天时	 天時	 thiên thời	 thiên thời/khí hậu/thời tiết/điều kiện khí hậu/tình hình thời tiết/tình hình khí hậu/thời gian
重型	 重型	 trọng hình	 trọng hình/hạng nặng/cỡ lớn
天道	 天道	 thiên đạo	 thiên đạo/lẽ trời/đạo trời/thời tiết
战区	 戰區	 chiến khu	 chiến khu
大礼	 大禮	 đại lễ	 đại lễ
惊魂	 驚魂	 kinh hồn	 kinh hồn/hoảng hồn/hết hồn
邮电	 郵電	 bưu điện	 bưu điện
进退	 進退	 tiến thoái	 tiến thối/tiến thoái/tiến lui/tiến lùi
国库	 國庫	 quốc khố	 quốc khố/ngân khố quốc gia/kho bạc nhà nước/ngân quỹ nhà nước
妖魔	 妖魔	 yêu ma	 yêu ma/yêu quái
病理	 病理	 bệnh lý	 bệnh lý
召回	 召回	 triệu hồi	 triệu hồi
本位	 本位	 bản vị	 bản vị/đơn vị tiền tệ gốc/cương vị/nơi làm việc của mình/cơ quan công tác của mình
分段	 分段	 phân đoạn	 phân đoạn
新星	 新星	 tân tinh	 tân tinh/sao mới/ngôi sao mới
御史	 御史	 ngự sử	 Ngự Sử
兴盛	 興盛	 hưng thịnh	 hưng thịnh/thịnh vượng/thịnh vượng hơn lên
稳妥	 穩妥	 ổn thỏa	 ổn thỏa/ổn thoả/đáng tin cậy/vững vàng/vững chắc
尊称	 尊稱	 tôn xưng	 tôn xưng/tôn/cách gọi kính trọng
投胎	 投胎	 đầu thai	 đầu thai
权贵	 權貴	 quyền quý	 quyền quý
铜钱	 銅錢	 đồng tiền	 đồng tiền/tiền đồng/tiền bằng đồng
从军	 從軍	 tòng quân	 nhập ngũ/tòng quân/tham gia quân ngũ/đi lính
装点	 裝點	 trang điểm	 trang điểm/trang trí
总动员	 總動員	 tổng động viên	 tổng động viên/động viên toàn lực
牢狱	 牢獄	 lao ngục	 lao ngục/nhà tù/ngục/tù/nhà lao/nhà giam
特使	 特使	 đặc sứ	 đặc sứ/đặc phái viên
豪气	 豪氣	 hào khí	 hào khí/khí phách/khí khái
盟友	 盟友	 minh hữu	 minh hữu/đồng minh/liên bang/nước đồng minh
好动	 好動	 hiếu động	 hiếu động/hoạt bát/ngồi không yên
海绵	 海綿	 hải miên	 hải miên/bọt biển/xương xốp/xốp/chất xốp như bọt biển/chất xốp và nhẹ
公职	 公職	 công chức	 công chức/nhiệm vụ
独奏	 獨奏	 độc tấu	 độc tấu
市镇	 市鎮	 thị trấn	 thị trấn
国事	 國事	 quốc sự	 quốc sự/việc nước/đại sự quốc gia
戒律	 戒律	 giới luật	 giới luật
雄心	 雄心	 hùng tâm	 hùng tâm/tâm chí mạnh mẽ
医术	 醫術	 y thuật	 y thuật/thuật chữa bệnh
侍郎	 侍郎	 thị lang	 thị lang
飞身	 飛身	 phi thân	 phi thân/phóng
远征	 遠征	 viễn chinh	 viễn chinh/hành quân xa/chiến đấu nơi xa
全权	 全權	 toàn quyền	 toàn quyền
刺客	 刺客	 thích khách	 thích khách/kẻ ám sát
烦闷	 煩悶	 phiền muộn	 phiền muộn/buồn rầu/buồn phiền
仗义	 仗義	 trượng nghĩa	 trượng nghĩa/giữ gìn chính nghĩa/ủng hộ chính nghĩa/coi trọng nghĩa khí/trọng nghĩa
恩情	 恩情	 ân tình	 ân tình/ân huệ/công ơn/ân đức/ân điển
分队	 分隊	 phân đội	 phân đội
演义	 演義	 diễn nghĩa	 diễn nghĩa
电磁	 電磁	 điện từ	 điện từ
侠客	 俠客	 hiệp khách	 hiệp khách/hiệp sĩ
杏仁	 杏仁	 hạnh nhân	 hạnh nhân
轻薄	 輕薄	 khinh bạc	 khinh bạc/cợt nhả/chớt nhả
突变	 突變	 đột biến	 đột biến/thay đổi đột ngột/thay đổi bất ngờ
监护	 監護	 giám hộ	 giám hộ/giám sát
统领	 統領	 thống lĩnh	 thống lĩnh/quan thống lĩnh/sĩ quan thống lĩnh
失常	 失常	 thất thường	 thất thường
老将	 老將	 lão tướng	 lão tướng/người giàu kinh nghiệm
雄壮	 雄壯	 hùng tráng	 hùng tráng/to lớn mạnh mẽ
审定	 審定	 thẩm định	 thẩm định/xem xét quyết định/duyệt y/xét định
战地	 戰地	 chiến địa	 chiến địa/chiến trường/mặt trận
防疫	 防疫	 phòng dịch	 phòng dịch/phòng bệnh truyền nhiễm
毒蛇	 毒蛇	 độc xà	 độc xà/rắn độc
炮制	 炮製	 bào chế	 bào chế/bịa đặt/đặt điều
北非	 北非	 bắc phi	 Bắc Phi/Bắc Châu Phi
黄海	 黃海	 hoàng hải	 Hoàng Hải
私有	 私有	 tư hữu	 tư hữu/sở hữu tư nhân
海燕	 海燕	 hải yến	 hải yến/chim hải âu
热度	 熱度	 nhiệt độ	 nhiệt độ/sốt
精液	 精液	 tinh dịch	 tinh dịch/tinh khí
天成	 天成	 thiên thành	 thiên thành/tự nhiên/sẵn có/vốn có
耕作	 耕作	 canh tác	 canh tác/việc đồng áng/cày cấy/cày bừa và trồng trọt
暗号	 暗號	 ám hiệu	 ám hiệu/mật mã/mật hiệu
星云	 星雲	 tinh vân	 tinh vân
私利	 私利	 tư lợi	 tư lợi
绝技	 絕技	 tuyệt kĩ/tuyệt kỹ	 tuyệt kỷ/tuyệt kỹ/tài nghệ tuyệt vời/kỳ tài
危难	 危難	 nguy nan	 nguy nan/nguy hiểm và tai hoạ/nguy hiểm khó khăn
左岸	 左岸	 tả ngạn	 tả ngạn/bờ trái
生灵	 生靈	 sinh linh	 sinh linh/nhân dân
半径	 半徑	 bán kính	 bán kính
孤儿院	 孤兒院	 cô nhi viện	 cô nhi viện
家世	 家世	 gia thế	 gia thế
静脉	 靜脈	 tĩnh mạch	 tĩnh mạch
神像	 神像	 thần tượng	 thần tượng/tượng thần/tượng Phật/ảnh người đã khuất/ảnh người chết
超然	 超然	 siêu nhiên	 siêu nhiên/xa rời/cách biệt/lánh xa/đứng ngoài/rời ra/đứng riêng ra
撤消	 撤消	 triệt tiêu	 triệt tiêu/thủ tiêu/huỷ bỏ/bác bỏ/dập tắt/cách/xoá bỏ/tuyên bố hết hiệu lực
停工	 停工	 đình công	 đình công/ngừng việc/ngừng sản xuất
正道	 正道	 chính đạo	 chính đạo/đường ngay/đường phải/đạo lý đúng đắn/hợp lý
口服	 口服	 khẩu phục	 khẩu phục/ra vẻ đồng ý/đồng ý bề ngoài/bằng mặt không bằng lòng/khâm phục ngoài miệng/bằng đường miệng/bằng lời nói
教士	 教士	 giáo sĩ	 giáo sĩ/tu sĩ/người truyền giáo/người truyền đạo
放生	 放生	 phóng sinh	 phóng sinh/phóng thích/thả
武艺	 武藝	 võ nghệ	 võ nghệ/nghề võ
对头	 對頭	 đối đầu	 đối đầu/đúng/đúng đắn/thích hợp/bình thường/hợp/ăn khớp/khớp/thù địch/đối địch/kẻ thù/đối thủ
绝密	 絕密	 tuyệt mật	 tuyệt mật/tối mật/tuyệt đối giữ bí mật
会馆	 會館	 hội quán	 hội quán
患难	 患難	 hoạn nạn	 hoạn nạn/nghịch cảnh
名医	 名醫	 danh y	 danh y
连结	 連結	 liên kết	 liên kết/kết hợp
老伯	 老伯	 lão bá	 lão bá/bác
衰弱	 衰弱	 suy nhược	 suy nhược/suy yếu
水银	 水銀	 thủy ngân	 thủy ngân/thuỷ ngân
凶器	 凶器	 hung khí	 hung khí/đồ giết người
残破	 殘破	 tàn phá	 tàn phá/sứt mẻ/tàn tạ/đổ nát/giập vỡ/tàn phá huỷ hoại
兵马	 兵馬	 binh mã	 binh mã/quân đội
海参	 海參	 hải sâm	 hải sâm/đỉa biển/dưa biển
外援	 外援	 ngoại viện	 ngoại viện/viện trợ từ bên ngoài/viện trợ nước ngoài
失手	 失手	 thất thủ	 thất thủ/lỡ tay/sẩy tay
入关	 入關	 nhập quan	 nhập quan
内力	 內力	 nội lực	 nội lực/lực trong
变数	 變數	 biến số	 chuyện xấu/biến số
讨伐	 討伐	 thảo phạt	 thảo phạt/đánh dẹp
宪章	 憲章	 hiến chương	 hiến chương/học tập/noi theo/quy định chế độ
改组	 改組	 cải tổ	 cải tổ/tổ chức lại
集团军	 集團軍	 tập đoàn quân	 tập đoàn quân
客商	 客商	 khách thương	 khách thương/thương gia/người buôn bán/người buôn chuyến
超凡	 超凡	 siêu phàm	 siêu phàm
经书	 經書	 kinh thư	 kinh thư/kinh điển Nho giáo
结盟	 結盟	 kết minh	 kết minh/kết thành đồng minh/liên kết/liên minh
天人	 天人	 thiên nhân	 thiên nhân
天文学	 天文學	 thiên văn học	 thiên văn học
信条	 信條	 tín điều	 tín điều/điều đặt ra để tin theo
军师	 軍師	 quân sư	 quân sư/cố vấn/luật sư
减价	 減價	 giảm giá	 giảm giá/hạ giá
空运	 空運	 không vận	 không vận/chuyên chở bằng máy bay
儒雅	 儒雅	 nho nhã	 nho nhã
名目	 名目	 danh mục	 danh mục/tên gọi
天命	 天命	 thiên mệnh	 thiên mệnh/số trời/mệnh trời
接应	 接應	 tiếp ứng	 tiếp ứng/chi viện/giúp đỡ/tiếp viện/tiếp tế/cung cấp
荒漠	 荒漠	 hoang mạc	 hoang mạc/hoang vu/hoang vắng/hiu quạnh/vắng vẻ/sa mạc hoang vắng
蓬莱	 蓬萊	 bồng lai	 Bồng Lai/chốn Bồng Lai
共事	 共事	 cộng sự	 cộng sự/cùng làm việc với nhau/làm việc chung
分心	 分心	 phân tâm	 phân tâm/không chuyên tâm/không chú ý/bận lòng/làm phiền/chịu khó/hao tốn sức lực
客套	 客套	 khách sáo	 khách sáo/sáo ngữ/lời khách sáo/lời xã giao/khách khí/nói xã giao
天机	 天機	 thiên cơ	 thiên cơ/cơ trời/bí mật/điều cơ mật
独占	 獨占	 độc chiếm	 độc chiếm/chiếm giữ một mình/độc quyền
成形	 成形	 thành hình	 thành hình/xếp hình/xếp thành hình dáng/tượng hình/khoa tạo hình
赠品	 贈品	 tặng phẩm	 tặng phẩm/quà tặng
原形	 原形	 nguyên hình	 nguyên hình/bộ mặt thật
联队	 聯隊	 liên đội	 liên đội
正名	 正名	 chính danh	 chính danh/xứng danh
高见	 高見	 cao kiến	 cao kiến/kiến thức sâu rộng/ý kiến hay/nhận xét có tầm nhìn xa
红心	 紅心	 hồng tâm	 hồng tâm/trái tim hồng/tấm lòng nhiệt huyết
降生	 降生	 giáng sinh	 giáng sinh
混战	 混戰	 hỗn chiến	 hỗn chiến/trận hỗn chiến/giao chiến/đánh nhau lộn xộn
同道	 同道	 đồng đạo	 đồng đạo/người cùng lý tưởng/người cùng tín ngưỡng/người cùng ngành/người cùng nghề/cùng đường/cùng một đường
住持	 住持	 trụ trì	 trụ trì/sư trụ trì/người trụ trì/cũng là do nghĩa ấy cả
密室	 密室	 mật thất	 mật thất/căn phòng bí mật
不忠	 不忠	 bất trung	 bất trung/không trung thành
污秽	 汙穢	 ô uế	 dơ bẩn/ô uế/bẩn thỉu/vật ô uế
乱伦	 亂倫	 loạn luân	 loạn luân
神威	 神威	 thần uy	 thần uy/uy lực thần kì/sức mạnh thần kì
盛情	 盛情	 thịnh tình	 thịnh tình/mối tình nồng nàn
河马	 河馬	 hà mã	 hà mã
升天	 昇天	 thăng thiên	 thăng thiên/chầu trời/chết
隔音	 隔音	 cách âm	 cách âm
春色	 春色	 xuân sắc	 xuân sắc/cảnh xuân/sắc xuân/ửng hồng
高频	 高頻	 cao tần	 cao tần/tần số cao
徽章	 徽章	 huy chương	 huy chương/huy hiệu
公使	 公使	 công sứ	 công sứ/quán sứ
涵义	 涵義	 hàm nghĩa	 hàm nghĩa/hàm ý/có ý/có nghĩa
对流	 對流	 đối lưu	 đối lưu/sự đối lưu
出厂	 出廠	 xuất xưởng	 xuất xưởng
阴历	 陰曆	 âm lịch	 âm lịch
飞人	 飛人	 phi nhân	 phi nhân/người bay/người chạy nhanh
通晓	 通曉	 thông hiểu	 thông hiểu/hiểu rõ/thông thạo
俊杰	 俊傑	 tuấn kiệt	 tuấn kiệt/hào kiệt/anh hào/tài giỏi/lỗi lạc
财源	 財源	 tài nguyên	 tài nguyên
穷苦	 窮苦	 cùng khổ	 cùng khổ/bần cùng khốn khổ/nghèo khổ
救星	 救星	 cứu tinh	 cứu tinh/người cứu vớt/người cứu thoát
大功	 大功	 đại công	 công lớn/đại công/công to
霸主	 霸主	 bá chủ	 bá chủ/chúa tể
宣战	 宣戰	 tuyên chiến	 tuyên chiến/triển khai đấu tranh
珍重	 珍重	 trân trọng	 trân trọng/quý trọng/coi trọng/bảo trọng/giữ gìn sức khỏe/giữ gìn sức khoẻ
皇城	 皇城	 hoàng thành	 hoàng thành
翻版	 翻版	 phiên bản	 phiên bản/in/bản in/bản sao/sao chép lại
绝色	 絕色	 tuyệt sắc	 tuyệt sắc/sắc đẹp tuyệt trần
民情	 民情	 dân tình	 dân tình/tình cảnh của dân/tình cảm của dân/tâm tình nguyện cọng của dân
冒昧	 冒昧	 mạo muội	 mạo muội/đánh liều/đánh bạo
上古	 上古	 thượng cổ	 thượng cổ
尽心	 盡心	 tận tâm	 tận tâm/dồn hết/tận lòng/hết lòng/hết lòng hết dạ
赤道	 赤道	 xích đạo	 xích đạo/xích đạo thiên cầu
号令	 號令	 hiệu lệnh	 hiệu lệnh/lệnh/truyền lệnh/mệnh lệnh
佛家	 佛家	 phật gia	 phật gia
善心	 善心	 thiện tâm	 thiện tâm/ý tốt/tấm lòng vàng/nhân từ
